miRNA	n	DSW
hsa-mir-450a-1	2	0.00235294117647
hsa-mir-129-2	19	0.0223529411765
hsa-mir-938	4	0.00470588235294
hsa-mir-933	1	0.00117647058824
hsa-mir-937	2	0.00235294117647
hsa-mir-935	4	0.00470588235294
hsa-mir-934	2	0.00235294117647
hsa-mir-516a	3	0.00352941176471
hsa-mir-516b	1	0.00117647058824
hsa-mir-691	1	0.00117647058824
hsa-mir-1184	1	0.00117647058824
hsa-mir-138-2	19	0.0223529411765
hsa-mir-1300	2	0.00235294117647
hsa-mir-138-1	18	0.0211764705882
hsa-mir-190a	8	0.00941176470588
hsa-mir-320b	11	0.0129411764706
hsa-mir-216	7	0.00823529411765
hsa-mir-346	11	0.0129411764706
hsa-mir-340	24	0.0282352941176
hsa-mir-342	47	0.0552941176471
hsa-mir-106a	65	0.0764705882353
hsa-mir-467	1	0.00117647058824
hsa-mir-106b	81	0.0952941176471
hsa-mir-1228	7	0.00823529411765
hsa-mir-463	1	0.00117647058824
hsa-mir-711	2	0.00235294117647
hsa-mir-2110	4	0.00470588235294
hsa-mir-519e	5	0.00588235294118
hsa-mir-548d-2	3	0.00352941176471
hsa-mir-944	5	0.00588235294118
hsa-mir-942	10	0.0117647058824
hsa-mir-943	2	0.00235294117647
hsa-mir-940	15	0.0176470588235
hsa-mir-519b	6	0.00705882352941
hsa-mir-1826	1	0.00117647058824
hsa-mir-4487	2	0.00235294117647
hsa-mir-4480	1	0.00117647058824
hsa-mir-606	1	0.00117647058824
hsa-mir-548d-1	3	0.00352941176471
hsa-mir-516b-1	4	0.00470588235294
hsa-mir-4489	1	0.00117647058824
hsa-mir-200	48	0.0564705882353
hsa-mir-203	94	0.110588235294
hsa-mir-202	19	0.0223529411765
hsa-mir-205	87	0.102352941176
hsa-mir-204	69	0.0811764705882
hsa-mir-526a	2	0.00235294117647
hsa-mir-206	81	0.0952941176471
hsa-mir-208	14	0.0164705882353
hsa-mir-3151	3	0.00352941176471
hsa-mir-3188	1	0.00117647058824
hsa-mir-3120	1	0.00117647058824
hsa-mir-4644	3	0.00352941176471
hsa-mir-892b	3	0.00352941176471
hsa-mir-124a	16	0.0188235294118
hsa-mir-1288	5	0.00588235294118
hsa-mir-299a	1	0.00117647058824
hsa-mir-10	4	0.00470588235294
hsa-mir-1183	2	0.00235294117647
hsa-mir-519a-1	6	0.00705882352941
hsa-mir-3915	2	0.00235294117647
hsa-mir-3913	1	0.00117647058824
hsa-mir-4792	2	0.00235294117647
hsa-mir-2392	1	0.00117647058824
hsa-mir-4793	1	0.00117647058824
hsa-mir-29b	88	0.103529411765
hsa-mir-29c	80	0.0941176470588
hsa-mir-29a	118	0.138823529412
hsa-mir-20a	122	0.143529411765
hsa-mir-640	3	0.00352941176471
hsa-mir-1236	7	0.00823529411765
hsa-mir-20b	37	0.0435294117647
hsa-mir-645	5	0.00588235294118
hsa-mir-644	2	0.00235294117647
hsa-mir-647	3	0.00352941176471
hsa-mir-1233	2	0.00235294117647
hsa-mir-649	1	0.00117647058824
hsa-mir-648	3	0.00352941176471
hsa-mir-760	8	0.00941176470588
hsa-mir-761	3	0.00352941176471
hsa-mir-766	7	0.00823529411765
hsa-mir-767	4	0.00470588235294
hsa-mir-1180	3	0.00352941176471
hsa-mir-765	9	0.0105882352941
hsa-mir-320c-1	4	0.00470588235294
hsa-mir-320c-2	5	0.00588235294118
hsa-mir-4417	2	0.00235294117647
hsa-mir-520e	7	0.00823529411765
hsa-mir-2909	4	0.00470588235294
hsa-mir-551a	4	0.00470588235294
hsa-mir-3648	1	0.00117647058824
hsa-mir-1285	5	0.00588235294118
hsa-mir-604	1	0.00117647058824
hsa-mir-326b	1	0.00117647058824
hsa-mir-548am	1	0.00117647058824
hsa-mir-298	5	0.00588235294118
hsa-mir-299	14	0.0164705882353
hsa-mir-296	32	0.0376470588235
hsa-mir-297	7	0.00823529411765
hsa-mir-294	1	0.00117647058824
hsa-mir-520f	6	0.00705882352941
hsa-mir-1181	3	0.00352941176471
hsa-mir-632	4	0.00470588235294
hsa-mir-548ac	1	0.00117647058824
hsa-mir-633	1	0.00117647058824
hsa-mir-1244	5	0.00588235294118
hsa-mir-1247	5	0.00588235294118
hsa-mir-1246	27	0.0317647058824
hsa-mir-1249	3	0.00352941176471
hsa-mir-1281	3	0.00352941176471
hsa-mir-1280	7	0.00823529411765
hsa-mir-5000	1	0.00117647058824
hsa-mir-498	14	0.0164705882353
hsa-mir-499	47	0.0552941176471
hsa-mir-710	1	0.00117647058824
hsa-mir-5004	1	0.00117647058824
hsa-mir-494	54	0.0635294117647
hsa-mir-495	26	0.0305882352941
hsa-mir-496	2	0.00235294117647
hsa-mir-497	40	0.0470588235294
hsa-mir-548c	4	0.00470588235294
hsa-mir-194-1	15	0.0176470588235
hsa-mir-194-2	13	0.0152941176471
hsa-mir-493	12	0.0141176470588
hsa-mir-548l	1	0.00117647058824
hsa-mir-587	1	0.00117647058824
hsa-mir-891a	1	0.00117647058824
hsa-mir-3131	1	0.00117647058824
hsa-mir-1972-1	1	0.00117647058824
hsa-mir-1234	4	0.00470588235294
hsa-mir-450a	2	0.00235294117647
hsa-mir-548t	1	0.00117647058824
hsa-mir-513c	7	0.00823529411765
hsa-mir-513b	6	0.00705882352941
hsa-mir-548q	1	0.00117647058824
hsa-mir-548p	1	0.00117647058824
hsa-mir-515-2	4	0.00470588235294
hsa-mir-3923	1	0.00117647058824
hsa-mir-581	1	0.00117647058824
hsa-mir-320d-2	3	0.00352941176471
hsa-mir-26a-2	27	0.0317647058824
hsa-mir-5096	2	0.00235294117647
hsa-mir-320d-1	4	0.00470588235294
hsa-mir-182	94	0.110588235294
hsa-mir-183	82	0.0964705882353
hsa-mir-181	16	0.0188235294118
hsa-mir-186	36	0.0423529411765
hsa-mir-187	22	0.0258823529412
hsa-mir-184	38	0.0447058823529
